primary_domain,primary_subcategory
"Domain 1. Joy, Interest & Motivation in Learning",1.1 Joy & Emotional Wellness
"Domain 1. Joy, Interest & Motivation in Learning",1.2 Triggered Situational Interest (Curiosity)
"Domain 1. Joy, Interest & Motivation in Learning",1.3 Value & Meaning (Utility Value)
"Domain 1. Joy, Interest & Motivation in Learning",1.4 Creative Expression & Making
"Domain 1. Joy, Interest & Motivation in Learning","1.5 Performance, Presentation & Artistic Response"
"Domain 2. Belonging, Relationships & School Connectedness",2.1 School/Program Connectedness (Belonging)
"Domain 2. Belonging, Relationships & School Connectedness",2.2 Adult Support & Care
"Domain 2. Belonging, Relationships & School Connectedness",2.3 Peer Connection & Social Integration
"Domain 2. Belonging, Relationships & School Connectedness",2.4 Cultural Identity & Affirmation
"Domain 2. Belonging, Relationships & School Connectedness",2.5 Family Partnership & Connection
Domain 3. Social & Emotional Learning (CASEL-aligned),3.1.1 Identifying and naming emotions
Domain 3. Social & Emotional Learning (CASEL-aligned),3.1.2 Understanding self & identity
Domain 3. Social & Emotional Learning (CASEL-aligned),3.1.3 Recognizing strengths
Domain 3. Social & Emotional Learning (CASEL-aligned),"3.1.4 Confidence, self-efficacy & growth mindset"
Domain 3. Social & Emotional Learning (CASEL-aligned),3.2.1 Emotion regulation & impulse control
Domain 3. Social & Emotional Learning (CASEL-aligned),3.2.2 Stress management & coping skills
Domain 3. Social & Emotional Learning (CASEL-aligned),3.2.3 Goal-setting & follow-through
Domain 3. Social & Emotional Learning (CASEL-aligned),"3.2.4 Organization, persistence & self-discipline"
Domain 3. Social & Emotional Learning (CASEL-aligned),3.3.1 Empathy & perspective-taking
Domain 3. Social & Emotional Learning (CASEL-aligned),3.3.2 Respect for diversity & inclusion
Domain 3. Social & Emotional Learning (CASEL-aligned),3.3.3 Understanding norms & expectations
Domain 3. Social & Emotional Learning (CASEL-aligned),3.3.4 Awareness of supports and resources
Domain 3. Social & Emotional Learning (CASEL-aligned),3.4.1 Communication & active listening
Domain 3. Social & Emotional Learning (CASEL-aligned),"3.4.2 Cooperation, teamwork & collaboration"
Domain 3. Social & Emotional Learning (CASEL-aligned),3.4.3 Conflict management & problem-solving in relationships
Domain 3. Social & Emotional Learning (CASEL-aligned),3.4.4 Help-seeking & providing support
Domain 3. Social & Emotional Learning (CASEL-aligned),3.4.5 Building and sustaining positive relationships
Domain 3. Social & Emotional Learning (CASEL-aligned),3.5.1 Evaluating options & consequences
Domain 3. Social & Emotional Learning (CASEL-aligned),3.5.2 Ethical and prosocial choices
Domain 3. Social & Emotional Learning (CASEL-aligned),3.5.3 Personal and social problem-solving
Domain 3. Social & Emotional Learning (CASEL-aligned),3.5.4 Safety-oriented decisions & risk avoidance
Domain 3. Social & Emotional Learning (CASEL-aligned),3.5.5 Contributions to class/program/community wellbeing
Domain 4. Academic Engagement & Habits,4.1 Academic Behaviors (Engagement)
Domain 4. Academic Engagement & Habits,4.2 Academic Perseverance (Grit/Tenacity)
Domain 4. Academic Engagement & Habits,4.3 Learning Strategies (Study Skills)
Domain 4. Academic Engagement & Habits,4.4 Academic Confidence (Self-Efficacy)
Domain 5. Positive Youth Development (PYD) & Assets,5.1 Empowerment & Safety
Domain 5. Positive Youth Development (PYD) & Assets,5.2 Positive Values
Domain 5. Positive Youth Development (PYD) & Assets,5.3 Constructive Use of Time
Domain 5. Positive Youth Development (PYD) & Assets,5.4 Positive Identity
Domain 6. Civic Engagement & Community,6.1 Civic Skills & Knowledge
Domain 6. Civic Engagement & Community,6.2 Community Service & Action
Domain 6. Civic Engagement & Community,6.3 Youth Voice & Leadership
Domain 6. Civic Engagement & Community,6.4 Criticality & Social Justice
Domain 6. Civic Engagement & Community,6.5 Digital Citizenship & Safety
Domain 7. Physical & Behavioral Health,7.1 Physical Activity & Nutrition
Domain 7. Physical & Behavioral Health,7.2 Mental Health Status (Symptom Reduction)
Domain 7. Physical & Behavioral Health,7.3 Healing & Trauma Recovery
Domain 7. Physical & Behavioral Health,7.4 Access to Mental Health Services
Domain 7. Physical & Behavioral Health,7.5 Substance Use Prevention & Reduction
Domain 7. Physical & Behavioral Health,7.6 Sexual & Reproductive Health Behaviors
Domain 7. Physical & Behavioral Health,"7.7 Violence, Bullying & Injury Prevention"
Domain 7. Physical & Behavioral Health,"7.8 Justice Involvement, Diversion & Reentry"
Domain 8. College & Career Readiness,8.1 Key Content Knowledge
Domain 8. College & Career Readiness,8.2 Key Cognitive Strategies
Domain 8. College & Career Readiness,8.3 Transition Knowledge & Skills
Domain 8. College & Career Readiness,8.4 Career Awareness & Exploration
Domain 8. College & Career Readiness,8.5 Employability Skills
Domain 8. College & Career Readiness,8.6 Technical Skills & Work-Based Learning
Domain 8. College & Career Readiness,"8.7 Postsecondary Enrollment, Persistence & Completion"
Domain 8. College & Career Readiness,"8.8 Employment Placement, Retention & Earnings"
Domain 9. Access & Equity,9.1 Access to Resources
Domain 9. Access & Equity,9.2 Participation & Inclusion
Domain 10. Adult & System Capacity,10.1 Professional Knowledge & Skill
Domain 10. Adult & System Capacity,10.2 Instructional Practice Change
Domain 10. Adult & System Capacity,10.3 Systemic Improvement
Domain 10. Adult & System Capacity,10.4 Family Engagement Capacity
Domain 10. Adult & System Capacity,"10.5 Program Participation, Retention & Reach (Output Metric)"
Domain 11. Academic Learning & Achievement,11.1 Literacy & Reading Skill
Domain 11. Academic Learning & Achievement,11.2 Numeracy & Mathematical Skill
Domain 11. Academic Learning & Achievement,11.3 General Content Knowledge & Conceptual Understanding
Domain 11. Academic Learning & Achievement,11.4 English Language Proficiency & Multilingual Development
Domain 11. Academic Learning & Achievement,"11.5 Attendance, Chronic Absence & School Stability"
Domain 11. Academic Learning & Achievement,"11.6 Credit Accumulation, On-Track Status & Graduation"
Domain 11. Academic Learning & Achievement,11.7 School Readiness & Early Learning
Domain 12. Family Strengthening & Basic Needs,12.1 Parenting Knowledge & Practices
Domain 12. Family Strengthening & Basic Needs,12.2 Parental Resilience & Caregiver Well-being
Domain 12. Family Strengthening & Basic Needs,12.3 Caregiver Social Connections & Support Networks
Domain 12. Family Strengthening & Basic Needs,12.4 Home Learning Environment
Domain 12. Family Strengthening & Basic Needs,12.5 Household Economic Stability & Benefits Access
Domain 12. Family Strengthening & Basic Needs,12.6 Food Security & Nutrition Access
Domain 12. Family Strengthening & Basic Needs,12.7 Housing Stability
